yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
201501001,2015,1001,AL,Autauga County,54864,36215,18362,17853,492,6976,922,177,,27648,small/mid,South,East South Central,60,33860,594.449,3094,,,,165,16,110,0,48,2,1,76,97,22,119,14,3,7,2,1,0,,,,222,12,210,0,112,0,0,2,108,145,22,123,0,63,0,0,1,81,0,0,0,0,,,,,,,,,,,,
201501003,2015,1003,AL,Baldwin County,199064,125534,64184,61350,1475,12890,5473,972,,104724,small/mid,South,East South Central,254,19300,1589.817,11261,,,,630,66,430,5,61,68,2,360,418,59,474,6,0,9,0,36,0,,,,923,87,836,0,350,0,0,11,562,348,52,296,0,111,0,0,3,234,2,32,365,235,,,,,,,,,,,,
201501005,2015,1005,AL,Barbour County,26749,17535,7569,9966,97,8771,676,58,,7933,rural,South,East South Central,20,,885.002,92,,,,111,10,90,0,10,8,0,82,42,2,24,74,0,0,0,2,0,,,,171,5,166,0,136,0,0,0,35,41,,,0,27,0,0,0,14,2,386,2918,1302,,,,,,,,,,,,
201501007,2015,1007,AL,Bibb County,22533,15325,6708,8617,35,3769,353,51,,11117,suburban,South,East South Central,21,13820,622.461,1224,,,,75,12,73,0,24,8,0,61,45,6,59,12,0,0,0,1,0,,,,60,,,0,20,0,0,0,40,8,,,0,,0,0,2,6,1,197,1916,900,,,,,,,,,,,,
201501009,2015,1009,AL,Blount County,57546,36635,18140,18495,147,586,3097,194,,32611,suburban,South,East South Central,21,13820,644.821,2396,,,,134,25,97,0,11,10,0,101,69,14,85,5,0,4,0,0,0,,,,117,14,103,0,8,0,0,2,107,55,8,47,0,7,0,0,2,46,0,0,0,0,,,,,,,,,,,,
201501011,2015,1011,AL,Bullock County,10673,7273,3058,4215,23,5207,456,22,,1565,rural,South,East South Central,20,,622.806,25,,,,32,1,24,0,24,0,0,1,20,28,4,13,3,2,3,0,0,,,,53,,,0,49,0,0,0,4,5,0,5,0,,0,0,5,,2,198,1484,842,,,,,,,,,,,,
201501013,2015,1013,AL,Butler County,20327,12736,6853,5883,158,5853,149,45,,6531,rural,South,East South Central,60,,776.832,425,,,,77,6,89,0,67,1,0,27,16,7,29,29,0,0,0,3,0,,,,162,14,148,0,121,0,0,1,40,79,8,71,0,62,0,0,0,17,0,0,0,0,,,,,,,,,,,,
201501015,2015,1015,AL,Calhoun County,115941,76310,39220,37090,847,16816,2521,339,,55787,small/mid,South,East South Central,303,11500,605.889,393,,,,5,4,3,0,28,15,0,3,1,59,274,50,0,0,0,28,0,,,,810,76,734,0,403,0,0,0,407,345,56,289,0,135,0,0,0,210,0,0,0,0,,,,,,,,,,,,
201501017,2015,1017,AL,Chambers County,33948,21773,11153,10620,251,9046,402,50,,12024,rural,South,East South Central,409,46740,596.531,2892,,,,149,18,115,0,69,1,0,63,48,5,47,1,0,133,1,1,0,,,,206,10,196,0,139,0,0,1,66,86,9,77,0,48,0,0,0,38,0,0,0,0,,,,,,,,,,,,
201501019,2015,1019,AL,Cherokee County,25897,16151,7986,8165,46,787,221,84,,15013,rural,South,East South Central,558,,553.759,3024.286,,,,125,18,102,0,9,2,0,109,80,13,57,10,0,1,0,5,0,,,,127,19,108,0,12,0,0,0,115,101,16,85,0,13,0,0,0,88,0,0,0,0,,,,,,,,,,,,
201501021,2015,1021,AL,Chilton County,43779,28273,14156,14117,141,2997,2079,108,,22948,suburban,South,East South Central,21,13820,692.852,2763.571,,,,170,36,122,0,28,4,0,126,120,15,150,40,0,24,1,9,0,,,,192,22,170,0,51,0,0,0,141,86,17,69,0,14,0,0,0,72,0,0,0,0,,,,,,,,,,,,
201501023,2015,1023,AL,Choctaw County,13318,8333,4349,3984,21,3718,57,20,,4517,rural,South,East South Central,312,,913.467,30,,,,27,2,17,0,9,0,0,8,3,1,14,6,0,0,0,0,0,,,,66,7,59,0,44,0,0,1,21,22,,,0,14,0,0,0,8,0,0,0,0,,,,,,,,,,,,
201501025,2015,1025,AL,Clarke County,24865,15876,8329,7547,76,7436,206,68,,8090,rural,South,East South Central,312,,1238.42,1407.857,,,,200,6,193,0,123,3,3,76,134,13,64,65,1,65,0,3,0,,,,161,13,148,0,129,0,0,1,31,72,7,65,0,57,0,0,1,14,0,0,0,0,,,,,,,,,,,,
201501027,2015,1027,AL,Clay County,13440,8556,4306,4250,25,1314,278,49,,6890,rural,South,East South Central,190,,603.962,1186,,,,95,41,51,0,23,2,0,67,38,15,92,38,0,0,0,16,0,,,,95,4,91,0,42,0,0,1,52,32,,,0,13,0,0,0,19,0,0,0,0,,,,,,,,,,,,
201501029,2015,1029,AL,Cleburne County,15026,9369,4681,4688,15,326,220,37,,8771,rural,South,East South Central,303,,560.105,731,,,,70,10,49,0,9,2,0,48,49,9,40,8,0,1,0,0,0,,,,77,10,67,0,8,0,0,1,68,52,9,43,0,8,0,0,1,43,0,0,0,0,,,,,,,,,,,,
201501031,2015,1031,AL,Coffee County,50652,32828,16345,16483,628,6016,2067,468,,23649,rural,South,East South Central,188,21460,678.986,1564.286,,,,128,16,103,0,69,3,1,47,111,15,91,10,2,2,2,2,0,,,,206,5,201,0,129,0,0,2,75,56,,,0,36,0,0,0,20,1,23,177,55,,,,,,,,,,,,
201501033,2015,1033,AL,Colbert County,54461,34706,17740,16966,219,5865,769,210,,27643,small/mid,South,East South Central,140,22520,592.619,1988,,,,108,18,100,0,57,0,0,61,86,12,56,8,0,0,0,0,0,,,,284,27,257,0,106,0,0,1,177,116,22,94,0,39,0,0,0,77,0,0,0,0,,,,,,,,,,,,
201501035,2015,1035,AL,Conecuh County,12677,7795,3997,3798,20,3695,135,32,,3913,rural,South,East South Central,380,,850.177,38,,,,36,6,32,0,22,0,0,16,13,0,0,3,0,0,0,53,0,,,,43,4,39,0,32,0,0,0,11,8,0,8,0,6,0,0,2,,0,0,0,0,,,,,,,,,,,,
201501037,2015,1037,AL,Coosa County,11034,7215,3486,3729,13,2413,154,36,,4599,rural,South,East South Central,190,45180,650.911,573.5714,,,,38,8,31,0,12,1,0,27,24,14,43,5,0,5,0,3,0,,,,94,6,88,0,41,0,0,0,53,36,,,0,12,0,0,0,24,0,0,0,0,,,,,,,,,,,,
201501039,2015,1039,AL,Covington County,37755,23378,11852,11526,131,3157,360,139,,19591,rural,South,East South Central,60,,1030.457,886.4286,,,,211,40,197,0,44,3,0,173,165,37,166,12,4,0,0,5,0,,,,391,35,356,0,128,0,0,0,263,186,36,150,0,48,0,0,0,138,0,0,0,0,,,,,,,,,,,,
201501041,2015,1041,AL,Crenshaw County,13852,8781,4409,4372,138,2202,131,44,,6266,rural,South,East South Central,60,,608.865,782.1429,,,,50,5,58,0,18,4,0,45,23,4,38,25,0,40,12,1,0,,,,49,,,0,23,0,0,0,26,17,,,0,5,0,0,0,12,0,0,0,0,,,,,,,,,,,,
201501043,2015,1043,AL,Cullman County,81041,51675,25570,26105,297,664,2053,325,,48336,rural,South,East South Central,120,18980,734.78,4418,,,,303,65,260,1,37,19,1,266,115,15,77,257,0,7,0,61,0,,,,391,52,339,0,13,0,0,2,376,204,40,164,0,4,0,0,0,200,0,0,0,0,,,,,,,,,,,,
201501045,2015,1045,AL,Dale County,49409,31989,15857,16132,524,6626,1902,224,,22713,rural,South,East South Central,188,37120,561.127,770,,,,60,8,56,0,38,1,0,25,51,6,36,64,1,6,0,1,0,,,,196,8,188,0,109,0,,1,86,59,4,55,0,25,0,0,0,34,0,0,0,0,,,,,,,,,,,,
201501047,2015,1047,AL,Dallas County,41559,26410,14275,12135,141,18816,238,62,,7153,rural,South,East South Central,458,42820,978.716,2000,,,,187,22,172,0,134,2,0,58,154,3,126,27,2,0,0,2,0,,,,209,7,202,0,191,0,0,0,18,28,,,0,24,0,0,0,4,0,0,0,0,,,,,,,,,,,,
201501049,2015,1049,AL,DeKalb County,71034,45258,22514,22744,195,782,5928,743,,37610,rural,South,East South Central,558,,777.099,1981.429,,,,13,1,15,0,1,45,0,15,11,2,6,22,0,20,0,50,0,,,,188,21,167,0,18,0,0,1,169,126,23,103,0,5,0,0,0,121,0,0,0,0,,,,,,,,,,,,
201501051,2015,1051,AL,Elmore County,80562,54255,28028,26227,482,12410,1490,225,,39648,small/mid,South,East South Central,60,33860,618.444,4588.571,,,,229,25,198,0,106,11,0,117,93,18,112,6,0,23,0,11,0,,,,269,14,255,0,141,0,0,2,126,140,16,124,0,61,0,0,1,78,5,627,4982,2611,,,,,,,,,,,,
201501053,2015,1053,AL,Escambia County,37740,24478,11269,13209,78,8474,508,918,,14500,rural,South,East South Central,380,,945.11,2326,,,,206,22,162,0,91,3,0,90,84,5,84,25,0,0,0,30,0,,,,256,28,228,0,131,0,0,5,120,144,22,122,0,72,0,0,5,67,3,357,2855,1416,,,,,,,,,,,,
201501055,2015,1055,AL,Etowah County,103374,66769,33966,32803,624,11117,2209,274,,52545,small/mid,South,East South Central,558,23460,535.286,6180,,,,699,66,568,10,150,80,0,289,568,9,110,22,2,2,3,249,249,,,,714,64,650,0,277,0,0,2,435,332,62,270,0,87,0,0,1,244,0,0,0,0,,,,,,,,,,,,
201501057,2015,1057,AL,Fayette County,16768,10549,5237,5312,23,1300,160,34,,9032,rural,South,East South Central,462,,627.684,738,,,,60,12,40,0,17,2,0,33,7,8,70,7,0,3,0,0,0,,,,77,12,65,0,21,0,0,0,56,24,5,19,0,5,0,0,0,19,0,0,0,0,,,,,,,,,,,,
201501059,2015,1059,AL,Franklin County,31494,20059,9823,10236,100,851,3192,105,,15811,rural,South,East South Central,140,,633.918,864,,,,69,9,53,0,4,6,0,52,61,10,41,13,0,57,0,2,0,,,,124,10,114,0,14,0,0,1,109,111,25,86,0,14,0,0,1,96,0,0,0,0,,,,,,,,,,,,
201501061,2015,1061,AL,Geneva County,26598,16617,8340,8277,65,1709,588,148,,14107,small/mid,South,East South Central,188,20020,574.47,818,,,,69,13,40,0,11,2,0,40,33,6,39,3,0,50,0,0,0,,,,113,14,99,0,26,0,0,0,87,41,14,27,0,6,0,0,0,35,0,0,0,0,,,,,,,,,,,,
201501063,2015,1063,AL,Greene County,8587,5354,2783,2571,13,4398,57,9,,877,rural,South,East South Central,216,,647.023,487,,,,6,2,24,0,25,0,0,1,19,0,11,26,0,1,0,0,0,,,,34,,,0,31,0,0,3,,7,,,0,6,0,0,1,,0,0,0,0,,,,,,,,,,,,
201501065,2015,1065,AL,Hale County,15048,9601,5089,4512,29,5764,119,16,,3673,small/mid,South,East South Central,216,46220,643.983,521.4286,,,,40,4,34,0,31,1,0,7,27,3,53,1,0,8,0,1,0,,,,29,,,0,22,0,0,0,7,4,0,4,0,4,0,0,0,0,1,8,91,84,,,,,,,,,,,,
201501067,2015,1067,AL,Henry County,17080,10649,5471,5178,49,3075,258,37,,7230,small/mid,South,East South Central,188,20020,561.75,730,,,,46,5,44,0,25,3,0,21,21,3,18,13,0,0,0,0,0,,,,106,11,95,0,64,0,0,1,41,32,4,28,0,16,0,0,1,15,0,0,0,0,,,,,,,,,,,,
201501069,2015,1069,AL,Houston County,104148,66845,34736,32109,741,18475,2046,282,,45301,small/mid,South,East South Central,188,20020,579.851,4658,,,,281,38,224,0,139,8,0,115,235,52,381,27,0,1,1,1,0,,,,1178,85,1093,0,772,0,0,7,399,349,61,288,0,199,0,0,2,148,0,0,0,0,,,,,,,,,,,,
201501071,2015,1071,AL,Jackson County,52541,33512,16791,16721,188,1232,906,658,,30528,rural,South,East South Central,106,42460,1077.987,1877.143,,,,22,8,17,0,4,1,0,21,86,23,1,10,0,10,0,30,0,,,,170,18,152,0,34,0,0,0,136,113,25,88,0,12,0,0,0,101,0,0,0,0,,,,,,,,,,,,
201501073,2015,1073,AL,Jefferson County,659544,437915,228956,208959,8074,192254,15149,1180,,221258,urban,South,East South Central,21,13820,1111.172,16502,,,,1115,109,835,2,776,20,5,146,775,115,732,176,7,3,1,2,0,,,,4137,220,3917,0,3264,0,0,13,860,1577,212,1365,0,1074,0,0,12,491,3,287,1961,1241,,,,,,,,,,,,
201501075,2015,1075,AL,Lamar County,14070,8680,4378,4302,12,1060,141,15,,7452,rural,South,East South Central,462,,604.846,865,,,,68,5,38,0,7,0,0,36,10,5,20,0,0,5,0,0,0,,,,50,5,45,0,8,0,0,0,42,30,5,25,0,,0,0,3,27,0,0,0,0,,,,,,,,,,,,
201501077,2015,1077,AL,Lauderdale County,92983,60381,31068,29313,595,6597,1334,272,,51583,small/mid,South,East South Central,140,22520,668.244,4895,,,,233,36,215,0,65,1,0,173,182,21,71,27,1,3,0,0,0,,,,345,30,315,0,113,0,0,1,231,216,30,186,0,66,0,0,2,148,0,0,0,0,,,,,,,,,,,,
201501079,2015,1079,AL,Lawrence County,33448,21787,11017,10770,58,2556,423,1566,,17184,small/mid,South,East South Central,120,19460,690.682,2000,,,,94,14,80,0,21,1,0,73,84,0,0,6,1,4,0,0,0,,,,154,12,142,0,33,0,0,0,121,109,19,90,0,22,0,0,1,86,0,0,0,0,,,,,,,,,,,,
201501081,2015,1081,AL,Lee County,154211,110534,55817,54717,4141,25643,3925,355,,76470,small/mid,South,East South Central,22,12220,607.551,7460,,,,397,51,328,1,191,7,1,180,303,22,142,15,1,34,0,18,0,,,,646,36,610,0,399,0,0,11,236,245,29,216,0,124,0,0,8,113,0,0,0,0,,,,,,,,,,,,
