Title,Prison Population Total,Prison Population Rate,,,
Afghanistan,30 000,88,,,
Albania,5 108,179,,,
Algeria,63 000,151,,,
American Samoa (USA),193,345,,,
Andorra,52,69,,,
Angola,24 000,93,,,
Anguilla (United Kingdom),55,367,,,
Antigua and Barbuda,305,321,,,
Argentina,92 161,207,,,
Armenia,3 536,119,,,
Aruba (Netherlands),170,165,,,
Australia,43 139,170,,,
Austria,8 692,98,,,
Azerbaijan,23 319,235,,,
Bahamas,1 778,442,,,
Bahrain,3 485,234,,,
Bangladesh,88 211,52,,,
Barbados,874,300,,,
Belarus,32 500,343,,,
Belgium,10 073,88,,,
Belize,1 297,356,,,
Benin,7 890,68,,,
Bermuda (United Kingdom),209,319,,,
Bhutan,1 119,145,,,
Bolivia,18 195,158,,,
Bosnia and Herzegovina: Federation,1 722,73,,,
Bosnia and Herzegovina: Republika Srpska,863,66,,,
Botswana,4 343,208,,,
Brazil,746 532,348,,,
Brunei Darussalam,565,134,,,
Bulgaria,9 028,125,,,
Burkina Faso,7 840,40,,,
Burundi,11 114,89,,,
Cambodia,31 008,189,,,
Cameroon,30 701,124,,,
Canada,39 579,107,,,
Cape Verde (Cabo Verde),1 549,296,,,
Cayman Islands (United Kingdom),240,365,,,
Central African Republic,764,16,,,
Chad,8 700,59,,,
Chile,44 559,242,,,
China,1 649 804,118,,,
Colombia,125 037,250,,,
Comoros,225,27,,,
Congo (Republic of),1 240,27,,,
Cook Islands (New Zealand),48,229,,,
Costa Rica,19 226,374,,,
Cote d'Ivoire,16 127,66,,,
Croatia,3 190,78,,,
Cuba,57 337,510,,,
Curaçao (Netherlands),377,236,,,
Cyprus (Republic of),643,74,,,
Czech Republic,21 226,199,,,
Democratic Republic of Congo,20 550,29,,,
Denmark,3 635,63,,,
Djibouti,600,66,,,
Dominica,211,289,,,
Dominican Republic,26 045,237,,,
Ecuador,40 006,233,,,
Egypt,106 000,116,,,
El Salvador,38 939,604,,,
Equatorial Guinea,500,63,,,
Estonia,2 474,186,,,
Ethiopia,113 727,127,,,
Faeroe Islands (Denmark),6,12,,,
Fiji,1 889,210,,,
Finland,2 842,51,,,
France,71 710,106,,,
French Guiana/Guyane (France),769,259,,,
French Polynesia (France),580,201,,,
Gabon,3 373,191,,,
Gambia,1 121,58,,,
Georgia,9 962,268,,,
Germany,64 666,78,,,
Ghana,15 463,52,,,
Gibraltar (United Kingdom),56,165,,,
Greece,10 216,95,,,
Greenland (Denmark),139,249,,,
Grenada,460,426,,,
Guadeloupe (France),905,202,,,
Guam (USA),628,381,,,
Guatemala,25 320,144,,,
Guernsey (United Kingdom),83,127,,,
Guinea (Republic of),3 200,25,,,
Guinea Bissau,196,10,,,
Guyana,2 216,284,,,
Haiti,8 882,80,,,
Honduras, 20 506,229,,,
Hong Kong (China),8 181,109,,,
Hungary,16 947,173,,,
Iceland,131,37,,,
India,450 696,33,,,
Indonesia,266 057,99,,,
Iran,240 000,294,,,
Iraq,45 000,126,,,
"Ireland, Republic of",3 989,80,,,
Isle of Man (United Kingdom),106,125,,,
Israel,19 376,234,,,
Italy,60 985,101,,,
Jamaica,3 866,138,,,
