county_name,pct_suspended,pct_incarcerated,pct_expelled,pct_referred
Autauga,0.091887858,0.006636804,0.002558363,0.00202537
Baldwin,0.038432629,0.008244495,0.00241838,0.001862806
Barbour,0.160500399,0.010650536,0,0.003992547
Bibb,0.077382731,0.006199173,0.00179265,0.0011951
Blount,0.062793177,0.00444267,0.000426439,0.000852878
Bullock,0.015159435,0.008910797,0,0
Butler,0.102638353,0.010848223,0.001287001,0
Calhoun,0.07546751,0.007747978,0,0.005327118
Chambers,0.106492293,0.010081472,0.000934143,0.001401214
Cherokee,0.060399292,0.009533328,0,0.000505433
Chilton,0.013487226,0.008614962,0.00025937,0.003631176
Choctaw,0.164464993,0.006942371,0,0
Clarke,0.102308627,0.014611036,0,0.003159174
Clay,0.002555366,0.014098165,0,0.001703578
Cleburne,0.10236822,0.010783921,0.000763942,0.003437739
Coffee,0.046622168,0.007108022,0,0
Colbert,0.060792518,0.00711561,0,0.001476741
Conecuh,0.221840659,0.006275178,0.001373626,0
Coosa,0.05666004,0.012263396,0.003976143,0.003976143
Covington,0.068928129,0.016899844,0,0
Crenshaw,0.077502214,0.007221781,0,0
Cullman,0.044676743,0.009141731,0,0.000932153
Dale,0.104287883,0.005345767,0,0.000126486
Dallas,0.072544972,0.009718682,0.000589797,0.005308169
DeKalb,0.063334162,0.002679642,0,0.001160574
Elmore,0.073889093,0.005909006,0.00044069,0.001615865
Escambia,0.131776034,0.011542636,0.00267475,0.0010699
Etowah,0.049183956,0.014817311,0.00011065,0.0004426
Fayette,0.089956332,0.00855971,0,0
Franklin,0.037958533,0.006126206,0,0.001754386
Geneva,0.100848727,0.007232799,0.000499251,0.000998502
Greene,0.039348711,0.004913163,0,0.001356852
Hale,0.04660701,0.004853095,0.000745712,0
Henry,0.206098032,0.008756567,0,0
Houston,0.130427917,0.01653076,0,0.00157903
Jackson,0.028119063,0.003949134,0,0.000886637
Jefferson,0.035691743,0.008437486,0.000191274,0.001520629
Lamar,0.003844511,0.008022519,0,0
Lauderdale,0.084443076,0.006289919,0.000307905,0.000153953
Lawrence,0.117919075,0.007937453,0,0
Lee,0.098640737,0.006949718,0.000547814,0.002739069
Limestone,0.111508951,0.004690558,0.00044757,0.001918159
Lowndes,0.11023622,0.013276412,0.004593176,0
Macon,0.043843284,0.007991609,0,0.000932836
Madison,0.066251872,0.007301377,9.22E-05,0.003664017
Marengo,0.099895942,0.008157175,0.000520291,0.000520291
Marion,0.015082092,0.010125745,0,0.00076365
Marshall,0.066097087,0.003876298,0.018796117,0.001631068
Mobile,0.066119847,0.01120482,0.00110011,0.006163852
Monroe,0.134093377,0.006628788,0.000542888,0.000542888
